intDate,mediaType,offerCount,Score
2023-09-13,message,200,95.29
2023-09-14,message,224,95.56
2023-09-14,voice,259,95.56
2023-09-14,callback,42,95.56
2023-09-14,email,1237,95.56
2023-09-15,email,1137,94.9
2023-09-15,callback,51,94.9
2023-09-15,message,164,94.9
2023-09-15,voice,189,94.9
2023-09-18,callback,69,96.07
2023-09-18,voice,228,96.07
2023-09-18,message,201,96.07
2023-09-18,email,1273,96.07
2023-09-19,voice,280,91.44
2023-09-19,callback,44,91.44
2023-09-19,message,186,91.44
2023-09-19,email,1274,91.44
2023-09-20,voice,253,94.57
2023-09-20,message,179,94.57
2023-09-20,callback,61,94.57
2023-09-20,email,1304,94.57
2023-09-21,voice,233,94.84
2023-09-21,email,1225,94.84
2023-09-21,message,183,94.84
2023-09-21,callback,48,94.84
2023-09-22,message,126,94.52
2023-09-22,callback,46,94.52
2023-09-22,email,1151,94.52
2023-09-22,voice,215,94.52
2023-09-25,message,158,94.48
2023-09-25,voice,225,94.48
2023-09-25,email,1254,94.48
2023-09-25,callback,41,94.48
2023-09-26,email,1205,94.83
2023-09-26,callback,54,94.83
2023-09-26,message,195,94.83
2023-09-26,voice,227,94.83
2023-09-27,message,146,95.79
2023-09-27,callback,23,95.79
2023-09-27,voice,208,95.79
2023-09-27,email,1109,95.79
2023-09-28,email,1039,95.43
2023-09-28,message,138,95.43
2023-09-28,callback,20,95.43
2023-09-28,voice,200,95.43
2023-09-29,voice,150,95.67
2023-09-29,message,100,95.67
2023-09-29,callback,21,95.67
2023-09-29,email,813,95.67
2023-10-02,email,556,94.72
2023-10-02,voice,69,94.72
2023-10-02,message,55,94.72
2023-10-02,callback,3,94.72
2023-10-03,email,1304,88.07
2023-10-03,message,156,88.07
2023-10-03,voice,294,88.07
2023-10-03,callback,13,88.07
2023-10-04,message,172,89.85
2023-10-04,email,1286,89.85
2023-10-04,callback,20,89.85
2023-10-04,voice,275,89.85
2023-10-05,email,1302,88.17
2023-10-05,message,197,88.17
2023-10-05,voice,279,88.17
2023-10-05,callback,19,88.17
2023-10-06,voice,217,92.3
2023-10-06,callback,44,92.3
2023-10-06,email,1037,92.3
2023-10-06,message,147,92.3
2023-10-09,message,223,96.73
2023-10-09,voice,245,96.73
2023-10-09,email,1327,96.73
2023-10-09,callback,63,96.73
2023-10-10,message,234,92.13
2023-10-10,callback,65,92.13
2023-10-10,email,1459,92.13
2023-10-10,voice,262,92.13
2023-10-11,message,15,90.17
2023-10-11,email,668,90.17
2023-10-12,message,202,92.32
2023-10-12,email,1368,92.32
2023-10-12,voice,202,92.32
2023-10-12,callback,67,92.32
2023-10-13,email,1123,93.41
2023-10-13,voice,129,93.41
2023-10-13,callback,77,93.41
2023-10-13,message,206,93.41
2023-10-16,message,234,95.5
2023-10-16,voice,216,95.5
2023-10-16,callback,101,95.5
2023-10-16,email,1246,95.5
2023-10-17,voice,260,95.22
2023-10-17,callback,90,95.22
2023-10-17,email,1317,95.22
2023-10-17,message,273,95.22
2023-10-18,voice,279,95.39
2023-10-18,message,223,95.39
2023-10-18,callback,127,95.39
2023-10-18,email,1464,95.39
